uid,semester,academic_year_id,legacy_count,new_count,severity,note
"0804250001","Sem II","1","0","6","ERROR","legacy_only=[] new_only=[593,599,611,612,616,618]"
"0304230023","Sem I","5","6","0","ERROR","legacy_only=[603,612,616,614,607,600] new_only=[]"
"0304230023","Sem II","5","7","0","ERROR","legacy_only=[603,602,612,616,615,600,608] new_only=[]"
"0304230023","Sem III","2","4","0","ERROR","legacy_only=[603,613,602,610] new_only=[]"
"0304230023","Sem IV","2","3","0","ERROR","legacy_only=[603,610,613] new_only=[]"
"0304230147","Sem I","5","6","0","ERROR","legacy_only=[603,612,616,614,604,605] new_only=[]"
"0304230147","Sem II","5","7","0","ERROR","legacy_only=[603,602,612,616,615,604,609] new_only=[]"
"0304230147","Sem III","2","4","0","ERROR","legacy_only=[603,605,608,611] new_only=[]"
"0304230147","Sem IV","2","3","0","ERROR","legacy_only=[603,611,605] new_only=[]"
"0304240001","Sem I","2","6","0","ERROR","legacy_only=[603,612,616,614,608,600] new_only=[]"
"0304240001","Sem II","2","5","0","ERROR","legacy_only=[603,612,616,600,602] new_only=[]"
"0304240016","Sem I","2","6","0","ERROR","legacy_only=[603,612,616,614,600,610] new_only=[]"
"0304240016","Sem II","2","5","0","ERROR","legacy_only=[603,612,616,610,597] new_only=[]"
"0604230006","Sem I","5","6","0","ERROR","legacy_only=[595,612,616,614,593,596] new_only=[]"
"0604230006","Sem II","5","7","0","ERROR","legacy_only=[595,612,616,615,608,593,618] new_only=[]"
"0604230006","Sem III","2","5","0","ERROR","legacy_only=[595,597,594,604,613] new_only=[]"
"0604230006","Sem IV","2","3","0","ERROR","legacy_only=[595,594,613] new_only=[]"
"0604230004","Sem I","5","6","0","ERROR","legacy_only=[595,612,616,614,593,596] new_only=[]"
"0604230004","Sem II","5","7","0","ERROR","legacy_only=[595,612,616,615,608,593,618] new_only=[]"
"0604230004","Sem III","2","5","0","ERROR","legacy_only=[595,597,594,604,613] new_only=[]"
"0604230004","Sem IV","2","3","0","ERROR","legacy_only=[595,594,613] new_only=[]"
"0804230008","Sem I","5","6","0","ERROR","legacy_only=[593,612,616,614,594,599] new_only=[]"
"0804230008","Sem II","5","7","0","ERROR","legacy_only=[593,612,616,615,618,609,594] new_only=[]"
"0804230008","Sem III","2","4","0","ERROR","legacy_only=[593,595,603,607] new_only=[]"
"0804230008","Sem IV","2","3","0","ERROR","legacy_only=[593,595,607] new_only=[]"
"0804230002","Sem I","5","6","0","ERROR","legacy_only=[593,612,616,614,599,597] new_only=[]"
"0804230002","Sem II","5","7","0","ERROR","legacy_only=[593,612,616,615,610,599,617] new_only=[]"
"0804230002","Sem III","2","4","0","ERROR","legacy_only=[593,596,602,607] new_only=[]"
"0804230002","Sem IV","2","3","0","ERROR","legacy_only=[593,596,607] new_only=[]"
"0804230012","Sem I","5","6","0","ERROR","legacy_only=[593,612,616,614,597,599] new_only=[]"
"0804230012","Sem II","5","7","0","ERROR","legacy_only=[593,612,616,615,610,599,617] new_only=[]"
"0804230012","Sem III","2","4","0","ERROR","legacy_only=[593,596,602,613] new_only=[]"
"0804230012","Sem IV","2","3","0","ERROR","legacy_only=[593,596,613] new_only=[]"
"0904230001","Sem I","5","6","0","ERROR","legacy_only=[594,612,616,614,596,593] new_only=[]"
"0904230001","Sem II","5","7","0","ERROR","legacy_only=[594,612,616,615,618,609,593] new_only=[]"
"0904230001","Sem III","2","4","0","ERROR","legacy_only=[594,595,608,613] new_only=[]"
"0904230001","Sem IV","2","3","0","ERROR","legacy_only=[594,595,613] new_only=[]"
"0904230010","Sem I","5","6","0","ERROR","legacy_only=[594,612,616,614,596,593] new_only=[]"
"0904230010","Sem II","5","7","0","ERROR","legacy_only=[594,612,616,615,618,609,593] new_only=[]"
"0904230010","Sem III","2","4","0","ERROR","legacy_only=[594,598,608,613] new_only=[]"
"0904230010","Sem IV","2","3","0","ERROR","legacy_only=[594,598,613] new_only=[]"
"0904230012","Sem I","5","6","0","ERROR","legacy_only=[594,612,616,614,593,596] new_only=[]"
"0904230012","Sem II","5","7","0","ERROR","legacy_only=[594,612,616,615,618,609,593] new_only=[]"
"0904230012","Sem III","2","4","0","ERROR","legacy_only=[594,598,608,613] new_only=[]"
"0904230012","Sem IV","2","3","0","ERROR","legacy_only=[594,598,613] new_only=[]"
"0904230013","Sem I","5","6","0","ERROR","legacy_only=[594,612,616,614,593,596] new_only=[]"
