legacy_id,legacy_name,legacy_type,bucket,new_id,new_name,score,note
"561","ALTERNATIVE ENGLISH","Ability Enhancement Course Programme","EXACT","613","Alternative English","1.000",""
"522","Alternative English","Ability Enhancement Course","EXACT","613","Alternative English","1.000",""
"540","Artificial Intelligence","Skill Enhancement Course","EXACT","648","Artificial Intelligence","1.000",""
"584","BBA","Minor","UNMATCHED","","","0.143","best=Bengali score=0.14"
"585","BBA","Multi Disciplinary Course","UNMATCHED","","","0.143","best=Bengali score=0.14"
"420","BBA","Core Course","UNMATCHED","","","0.143","best=Bengali score=0.14"
"421","BBA","Generic Elective","UNMATCHED","","","0.143","best=Bengali score=0.14"
"419","BBA","Skill Enhancement Course","UNMATCHED","","","0.143","best=Bengali score=0.14"
"602","BBA","Core","UNMATCHED","","","0.143","best=Bengali score=0.14"
"513","Bengali","Minor","EXACT","605","Bengali","1.000",""
"350","Bengali","Generic Elective","EXACT","605","Bengali","1.000",""
"491","BENGALI","Inter Disciplinary Course","EXACT","605","Bengali","1.000",""
"520","BENGALI","Ability Enhancement Course","EXACT","605","Bengali","1.000",""
"534","Business Communication","Ability Enhancement Course","EXACT","643","Business Communication ","1.000",""
"532","Business Ethics","Minor","EXACT","641","Business Ethics","1.000",""
"192","Business Mathematics & Statistics","Generic Elective","UNMATCHED","","","0.352","best=Business Communication  score=0.35"
"433","Business Mathematics & Statistics","Generic Elective Programme","UNMATCHED","","","0.352","best=Business Communication  score=0.35"
"607","Business Regulatory Framework","Major","EXACT","637","Business Regulatory Framework ","1.000",""
"613","Business Regulatory Framework","Major Programme","EXACT","637","Business Regulatory Framework ","1.000",""
"539","Case Analysis, Copy Writing and Content Writing in English","Ability Enhancement Course","EXACT","647","Case Analysis, Copy Writing and Content Writing in English","1.000",""
"502","Chemistry","Minor","EXACT","595","Chemistry","1.000",""
"345","Chemistry","Core Course","EXACT","595","Chemistry","1.000",""
"545","Chemistry","Inter Disciplinary Course","EXACT","595","Chemistry","1.000",""
"542","Chemistry","Major","EXACT","595","Chemistry","1.000",""
"376","CHEMISTRY","Skill Enhancement Course","EXACT","595","Chemistry","1.000",""
"362","Chemistry","Generic Elective","EXACT","595","Chemistry","1.000",""
"496","Compulsory English","Ability Enhancement Course","EXACT","612","Compulsory English","1.000",""
"556","Compulsory English","Ability Enhancement Course Programme","EXACT","612","Compulsory English","1.000",""
"547","Computer Science","Inter Disciplinary Course","EXACT","596","Computer Science","1.000",""
"363","Computer Science","Generic Elective","EXACT","596","Computer Science","1.000",""
"348","Computer Science","Core Course","EXACT","596","Computer Science","1.000",""
"550","Computer Science","Major","EXACT","596","Computer Science","1.000",""
"503","Computer Science","Minor","EXACT","596","Computer Science","1.000",""
"396","COMPUTER SCIENCE","Skill Enhancement Course","EXACT","596","Computer Science","1.000",""
"574","Computerized Accounting and Introduction to Data Science","Skill Enhancement Course","EXACT","630","Computerized Accounting and Introduction to Data Science","1.000",""
"580","Computerized Accounting and Introduction to Data Science in Business","Skill Enhancement Course Programme","EXACT","630","Computerized Accounting and Introduction to Data Science","1.000","manual override"
"498","Constitutional Value & Fundamental Duties","Common Value Added Course","EXACT","614","Constitutional Value & Fundamental Duties","1.000",""
"558","Constitutional Value & Fundamental Duties","Common Value Added Course Programme","EXACT","614","Constitutional Value & Fundamental Duties","1.000",""
"577","Consumer Behaviour","Minor Programme","EXACT","631","Consumer Behaviour","1.000",""
"571","Consumer Behaviour","Minor","EXACT","631","Consumer Behaviour","1.000",""
"569","Cost Accounting - II","Major","FUZZY-AUTO","628","Cost Accounting II","0.950",""
"552","Cost Accounting I","Major Programme","EXACT","623","Cost Accounting I","1.000",""
"527","Cost Accounting I","Major","EXACT","623","Cost Accounting I","1.000",""
"575","Cost Accounting II","Major Programme","EXACT","628","Cost Accounting II","1.000",""
"195","Cost and Management Accounting - II","Core Course","UNMATCHED","","","0.557","best=Cost Accounting II score=0.56"
"438","Cost and Management Accounting - II","Core Course Programme","UNMATCHED","","","0.557","best=Cost Accounting II score=0.56"
"576","Direct Tax I","Major Programme","EXACT","629","Direct Tax I","1.000",""
"570","Direct Tax I","Major","EXACT","629","Direct Tax I","1.000",""
"611","Direct Tax – II and e-filing of Tax Return","Major Programme","EXACT","635","Direct Tax – II and e-filing of Tax Return","1.000",""
"605","Direct Tax – II and e-filing of Tax Return","Major","EXACT","635","Direct Tax – II and e-filing of Tax Return","1.000",""
"567","Domestic Applications of Electronics","Common Value Added Course","EXACT","618","Domestic Applications of Electronics","1.000",""
"606","E-Commerce & Business Communications","Major","EXACT","636","E-Commerce & Business Communications","1.000",""
"612","E-Commerce & Business Communications","Major Programme","EXACT","636","E-Commerce & Business Communications","1.000",""
"541","Economics","Major","EXACT","597","Economics","1.000",""
"391","ECONOMICS","Skill Enhancement Course","EXACT","597","Economics","1.000",""
"544","Economics","Inter Disciplinary Course","EXACT","597","Economics","1.000",""
"344","Economics","Core Course","EXACT","597","Economics","1.000",""
"493","EDUCATION","Inter Disciplinary Course","EXACT","608","Education","1.000",""
"359","Education","Generic Elective","EXACT","608","Education","1.000",""
"514","Education","Minor","EXACT","608","Education","1.000",""
"395","ELECTRONICS","Skill Enhancement Course","EXACT","598","Electronics","1.000",""
"565","Electronics","Major","EXACT","598","Electronics","1.000",""
"548","Electronics","Inter Disciplinary Course","EXACT","598","Electronics","1.000",""
